TV Series,Utterances,dialog_ids,uttr_ids,seasons,episodes,start_times,end_times,sentiment,emotion,intensity,emotion2,intensity2,emotion3,intensity3
GA,"o'malley, yang, grey, stevens",2,4,1,1,00:03:49:735,00:03:52:634,neutral,neutral,,,,,
GA,and i'm totally forgettable,2,5,1,1,00:03:53:425,00:03:55:024,negative ,sadness,2,disgust,2,,
GA,bailey? - end of the hall,2,6,1,1,00:03:56:208,00:03:57:738,negative ,surprise,2,,,,
GA,that's the nazi?,2,7,1,1,00:03:59:402,00:04:00:697,negative ,surprise,3,,,,
GA,i thought the nazi would be a guy,2,8,1,1,00:04:01:384,00:04:02:873,negative ,surprise,2,acceptance,1,,
GA,i thought the nazi would be a nazi,2,9,1,1,00:04:02:991,00:04:06:156,negative ,surprise,1,disgust,2,,
GA,maybe it's professional jealousy,2,10,1,1,00:04:06:274,00:04:07:927,neutral,neutral,,,,,
GA,"maybe she's brilliant, and they call her a nazi because they're jealous",2,11,1,1,00:04:08:001,00:04:11:071,positive,acceptance,2,,,,
GA,maybe she's nice,2,12,1,1,00:04:11:272,00:04:12:213,positive,acceptance,1,,,,
GA,let me guess - you're the model,2,13,1,1,00:04:12:295,00:04:13:764,negative ,surprise,1,disgust,2,,
GA,"hi, i'm isobel stevens, but everyone calls me ""izzie.""",2,14,1,1,00:04:14:957,00:04:17:845,positive,acceptance,1,joy,3,,
GA,i have five rules. memorize them,2,15,1,1,00:04:19:694,00:04:21:894,neutral,neutral,,,,,
GA,rule number one - don't bother sucking up. i already hate you. that's not gonna change,2,16,1,1,00:04:21:956,00:04:25:720,negative ,disgust,2,,,,
GA,"trauma protocol, phone list, pagers - nurses will page you",2,17,1,1,00:04:25:802,00:04:30:175,neutral,neutral,,,,,
GA,you will answer every page at a run - a run - that's rule number two,2,18,1,1,00:04:30:276,00:04:34:602,negative ,anger,1,,,,
GA,your first shift starts now and lasts 48 hours,2,19,1,1,00:04:34:736,00:04:38:350,neutral,neutral,,,,,
GA,seattle is surrounded by water on three sides,3,0,1,2,00:04:05:947,00:04:08:604,positive,acceptance,1,,,,
GA,hence the ferryboats,3,1,1,2,00:04:08:677,00:04:09:767,positive,acceptance,1,joy,1,,
GA,now i have to like it here,3,2,1,2,00:04:10:828,00:04:12:189,positive,acceptance,2,disgust,1,,
GA,i wasn't planning on liking it here,3,3,1,2,00:04:12:711,00:04:14:171,negative ,acceptance,2,sadness,1,,
GA,i'm from new york,3,4,1,2,00:04:14:918,00:04:15:947,positive,acceptance,1,,,,
GA,i'm genetically engineered to dislike everywhere except manhattan,3,5,1,2,00:04:16:055,00:04:19:014,negative ,sadness,1,disgust,2,,
GA,i have a thing for ferryboats,3,6,1,2,00:04:19:931,00:04:21:328,positive,acceptance,2,joy,1,,
GA,i'm not going out with you,3,7,1,2,00:04:27:345,00:04:28:738,negative ,acceptance,1,,,,
GA,did i ask you to go out with me?,3,8,1,2,00:04:28:906,00:04:30:314,positive,surprise,2,joy,1,,
GA,do you want to go out with me?,3,9,1,2,00:04:32:438,00:04:33:657,positive,joy,2,,,,
GA,"i'm not dating you, and i'm definitely not sleeping with you again",3,10,1,2,00:04:34:707,00:04:37:667,negative ,anger,1,disgust,1,,
GA,you're my boss,3,11,1,2,00:04:37:738,00:04:38:548,negative ,sadness,1,acceptance,1,,
GA,i'm your boss's boss,3,12,1,2,00:04:38:641,00:04:39:859,positive,acceptance,1,joy,1,,
GA,you're my teacher and my teacher's teacher,3,13,1,2,00:04:40:011,00:04:42:566,positive,acceptance,1,,,,
GA,and you're my teacher,3,14,1,2,00:04:42:648,00:04:43:647,positive,acceptance,1,joy,1,,
GA,"""i'm your sister, i'm your daughter.""",3,15,1,2,00:04:43:760,00:04:45:096,neutral,neutral,,,,,
GA,you're sexually harassing me. - i'm riding an elevator,3,16,1,2,00:04:45:347,00:04:47:789,negative ,anger,1,disgust,2,,
GA,"look, i'm drawing a line",3,17,1,2,00:04:49:171,00:04:51:250,neutral,neutral,,,,,
GA,the line is drawn,3,18,1,2,00:04:51:496,00:04:52:751,neutral,neutral,,,,,
GA,there's a big line,3,19,1,2,00:04:53:027,00:04:55:116,neutral,neutral,,,,,
GA,yes,4,0,1,2,00:15:43:490,00:15:44:302,positive,like,1,anger,1,,
GA,no other reason?,4,1,1,2,00:15:44:754,00:15:45:620,negative ,surprise,2,disgust,1,,
GA,just a favor for an old professor?,4,2,1,2,00:15:46:229,00:15:47:924,negative ,surprise,2,disgust,1,,
GA,it'll be years before i retire. - chief of surgery is mine,4,3,1,2,00:15:48:047,00:15:51:231,negative ,anger,1,disgust,1,,
GA,chief of surgery is mine,4,4,1,2,00:15:51:907,00:15:53:315,negative ,anger,1,like,1,,
GA,it was yours. now i'm not so sure,4,5,1,2,00:15:53:397,00:15:55:133,negative ,sadness,2,disgust,1,,
GA,i am the best surgeon at grace with the lowest mortality rate,4,6,1,2,00:15:55:219,00:15:58:384,positive,like,3,anger,2,,
GA,you can't just bring - - now ask me why i'm not so sure about you,4,7,1,2,00:15:58:451,00:16:02:147,negative ,anger,2,disgust,1,,
GA,ask me why,4,8,1,2,00:16:04:662,00:16:05:741,negative ,anger,1,disgust,1,,
GA,don't people get sick anymore?,4,9,1,2,00:16:15:708,00:16:17:427,negative ,sadness,3,disgust,2,,
GA,"i mean, how are we supposed to get any o.r. time if everyone's gonna just live?",4,10,1,2,00:16:18:409,00:16:22:438,negative ,sadness,2,disgust,1,,
GA,look,4,11,1,2,00:16:25:080,00:16:25:806,neutral,neutral,,,,,
GA,"i'll take 10, you take 10",4,12,1,2,00:16:26:761,00:16:28:833,neutral,neutral,,,,,
GA,"get in, get out",4,13,1,2,00:16:28:916,00:16:29:821,neutral,neutral,,,,,
GA,"no smiling, no hugging, no letting them cry",4,14,1,2,00:16:29:920,00:16:31:997,neutral,neutral,,,,,
GA,just be quick about it,4,15,1,2,00:16:32:084,00:16:33:170,neutral,neutral,,,,,
GA,you're the one that's slow,4,16,1,2,00:16:33:907,00:16:35:261,negative ,sadness,2,disgust,1,,
GA,i am not slow. you are slow,4,17,1,2,00:16:35:336,00:16:36:959,negative ,anger,2,disgust,3,,
GA,you want to bet?,4,18,1,2,00:16:37:030,00:16:37:911,negative ,anger,1,disgust,1,,
GA,"yeah, you're on",4,19,1,2,00:16:38:172,00:16:39:007,positive,anger,2,like,3,,
GA,"if he doesn't respond to these tests in the next 5 hours, what?",5,0,1,3,00:08:04:972,00:08:07:604,negative ,sadness,2,anger,1,,
GA,we're supposed to just stand here and watch him die?,5,1,1,3,00:08:07:704,00:08:10:589,negative ,sadness,2,anger,1,disgust,2
GA,"if he doesn't respond to these tests, it's because he's already dead",5,2,1,3,00:08:10:655,00:08:14:480,negative ,anger,1,disgust,2,,
GA,technically. legally,5,3,1,3,00:08:15:350,00:08:16:688,negative ,disgust,2,,,,
GA,"actually, izzie. actually dead",5,4,1,3,00:08:16:758,00:08:18:762,negative ,anger,2,disgust,1,,
GA,he's breathing. he has a heartbeat,5,5,1,3,00:08:18:847,00:08:20:651,negative ,anger,1,,,,
GA,look at his e.e.g. - there's no higher-brain function,5,6,1,3,00:08:20:726,00:08:22:978,negative ,anger,1,disgust,1,,
GA,"he'll never talk, move, or think again",5,7,1,3,00:08:23:040,00:08:25:908,negative ,sadness,1,disgust,2,,
GA,there's no one in there,5,8,1,3,00:08:26:133,00:08:27:372,negative ,sadness,2,anger,1,,
GA,"think like a doctor, izzie",5,9,1,3,00:08:27:782,00:08:29:194,negative ,anger,1,disgust,2,,
GA,he could wake up,5,10,1,3,00:08:29:293,00:08:30:536,negative ,sadness,2,,,,
GA,what about a miracle?,5,11,1,3,00:08:31:192,00:08:32:380,negative ,sadness,1,,,,
GA,"there are medical miracles, you know",5,12,1,3,00:08:32:471,00:08:33:920,positive,sadness,1,acceptance,1,,
GA,i know. you're right,5,13,1,3,00:08:33:998,00:08:36:133,positive,acceptance,2,,,,
GA,miracles happen,5,14,1,3,00:08:36:234,00:08:37:285,positive,acceptance,2,,,,
GA,people do wake up. that's why we do a series of tests over a set number of hours,5,15,1,3,00:08:38:405,00:08:42:650,positive,acceptance,1,,,,
GA,"so when we call ""time of death,"" we know that we've done everything",5,16,1,3,00:08:42:850,00:08:45:668,negative ,sadness,2,disgust,1,,
GA,to make sure it's actually his time of death,5,17,1,3,00:08:45:729,00:08:48:482,negative ,sadness,2,disgust,1,,
GA,that there's isn't going to be any miracles,5,18,1,3,00:08:49:422,00:08:51:385,negative ,sadness,2,disgust,2,,
GA,this is the hard part,5,19,1,3,00:08:56:238,00:08:57:432,negative ,sadness,1,,,,
GA,"without i.d., you can't contact the family",6,0,1,3,00:13:06:636,00:13:08:786,negative ,sadness,2,anger,1,,
GA,"without the family, you can't get consent to harvest the organs",6,1,1,3,00:13:08:868,00:13:11:825,negative ,anger,1,sadness,2,,
GA,let the poor man die in peace,6,2,1,3,00:13:11:881,00:13:13:521,negative ,anger,1,disgust,1,,
GA,what if we can find the family?,6,3,1,3,00:13:13:593,00:13:14:710,positive,like,1,fear,1,,
GA,and get consent,6,4,1,3,00:13:14:791,00:13:16:033,positive,like,2,joy,1,,
GA,we could harvest the organs?,6,5,1,3,00:13:16:102,00:13:17:407,positive,like,1,joy,1,,
GA,if you find the family,6,6,1,3,00:13:18:349,00:13:20:168,positive,like,1,anger,1,,
GA,what are you doing?,6,7,1,3,00:13:25:643,00:13:26:543,positive,surprise,2,disgust,1,,
GA,hiding,6,8,1,3,00:13:27:320,00:13:28:053,negative ,sadness,1,fear,2,,
GA,there's this v.i.p. patient,6,9,1,3,00:13:28:723,00:13:30:428,negative ,sadness,1,disgust,1,,
GA,he likes me,6,10,1,3,00:13:30:863,00:13:32:051,negative ,sadness,1,fear,1,,
GA,"that's good, right?",6,11,1,3,00:13:32:530,00:13:33:680,positive,surprise,2,joy,1,,
GA,he likes me likes me,6,12,1,3,00:13:34:213,00:13:36:521,negative ,sadness,1,fear,2,,
GA,"go for it, man. get yours",6,13,1,3,00:13:36:823,00:13:38:855,positive,joy,2,like,3,,
GA,i'm down with the rainbow,6,14,1,3,00:13:38:938,00:13:40:350,positive,joy,1,like,2,,
GA,oh. are you not gay?,6,15,1,3,00:13:45:420,00:13:47:867,negative ,surprise,2,sadness,1,,
GA,no,6,16,1,3,00:13:48:210,00:13:48:988,negative ,sadness,1,disgust,2,,
GA,really?,6,17,1,3,00:13:49:515,00:13:50:376,negative ,surprise,3,sadness,1,,
GA,"dude, sorry",6,18,1,3,00:13:51:891,00:13:52:993,negative ,sadness,3,disgust,1,,
GA,"uh, cristina?",6,19,1,3,00:13:59:081,00:14:00:196,neutral,neutral,,,,,
GA,"mr. humphrey, i'm sorry to wake you",7,0,1,4,00:04:32:381,00:04:34:276,negative ,sadness,2,fear,1,,
GA,come on,7,1,1,4,00:04:35:895,00:04:36:928,positive,acceptance,2,,,,
GA,what time is it?,7,2,1,4,00:04:38:347,00:04:39:525,neutral,neutral,,,,,
GA,10 after 5:00,7,3,1,4,00:04:39:831,00:04:40:884,neutral,neutral,,,,,
GA,i'm sorry. i just need to do a brief exam,7,4,1,4,00:04:41:049,00:04:42:920,negative ,sadness,2,,,,
GA,if you could sit up for one moment,7,5,1,4,00:04:43:010,00:04:44:280,neutral,neutral,,,,,
GA,thanks,7,6,1,4,00:04:50:798,00:04:51:520,positive,acceptance,2,,,,
GA,"this might be a little bit cold, so just take a deep breath",7,7,1,4,00:04:52:196,00:04:55:852,neutral,neutral,,,,,
GA,if you could just take a deep breath,7,8,1,4,00:04:55:970,00:04:57:286,neutral,neutral,,,,,
GA,you're not a doctor,7,9,1,4,00:04:57:394,00:04:58:503,negative ,anger,2,disgust,3,,
GA,"i'm dr. stevens, but you can call me izzie",7,10,1,4,00:04:58:627,00:05:00:288,positive,acceptance,2,,,,
GA,i'll be helping dr. bailey with your biopsy this morning,7,11,1,4,00:05:00:349,00:05:02:114,positive,acceptance,1,,,,
GA,"no, i don't think so, no",7,12,1,4,00:05:02:169,00:05:03:486,negative ,anger,3,disgust,3,,
GA,"mr. humphrey, this will just take a moment",7,13,1,4,00:05:04:121,00:05:05:482,negative ,fear,2,sadness,1,,
GA,"no, get me dr. bailey or dr. victor",7,14,1,4,00:05:05:559,00:05:08:145,negative ,anger,3,disgust,3,,
GA,i just need to do a brief - - you don't need to do anything,7,15,1,4,00:05:08:269,00:05:10:762,negative ,anger,2,disgust,3,,
GA,is this you?,7,16,1,4,00:05:11:586,00:05:12:411,negative ,anger,2,disgust,2,,
GA,h uh?,7,17,1,4,00:05:13:993,00:05:14:683,negative ,anger,2,disgust,1,,
GA,is this you?,7,18,1,4,00:05:15:195,00:05:16:142,negative ,anger,2,disgust,2,,
GA,"it is, isn't it?",7,19,1,4,00:05:18:006,00:05:19:117,negative ,anger,2,disgust,2,,
GA,but they're not coming on to you,8,0,1,4,00:11:03:001,00:11:04:645,neutral,neutral,,,,,
GA,not exactly,8,1,1,4,00:11:05:530,00:11:06:585,negative ,sadness,1,disgust,1,,
GA,they don't expect you to do anything,8,2,1,4,00:11:06:704,00:11:08:573,positive,like,1,joy,1,,
GA,no,8,3,1,4,00:11:09:042,00:11:09:842,negative ,sadness,1,disgust,1,,
GA,but,8,4,1,4,00:11:11:266,00:11:12:162,negative ,sadness,1,disgust,1,,
GA,like sisters,8,5,1,4,00:11:12:289,00:11:13:272,positive,joy,1,like,2,,
GA,just like sisters,8,6,1,4,00:11:14:874,00:11:16:206,positive,joy,1,like,2,,
GA,is he prepped?,8,7,1,4,00:11:25:105,00:11:26:374,neutral,neutral,,,,,
GA,i think they're doing it right now,8,8,1,4,00:11:28:980,00:11:30:374,negative ,sadness,1,fear,1,,
GA,you think?,8,9,1,4,00:11:30:465,00:11:31:372,negative ,anger,3,disgust,2,,
GA,he's having a prostate biopsy,8,10,1,4,00:11:31:576,00:11:33:743,negative ,anger,1,sadness,1,,
GA,"trust me. if you'd been in there, you'd know",8,11,1,4,00:11:33:830,00:11:36:160,negative ,anger,2,disgust,1,,
GA,"okay, mr. humphrey. we're gonna get started",8,12,1,4,00:11:40:275,00:11:42:302,neutral,neutral,,,,,
GA,get her out of here,8,13,1,4,00:11:47:935,00:11:49:594,negative ,anger,3,disgust,2,,
GA,i want her out of here! just get her out of here!,8,14,1,4,00:11:49:732,00:11:51:791,negative ,anger,3,disgust,2,,
GA,go! now! just you go! now!,8,15,1,4,00:11:51:997,00:11:54:998,negative ,anger,3,disgust,2,,
GA,"hey, relax! relax, mr. humphrey",8,16,1,4,00:11:56:001,00:11:59:506,positive,surprise,3,like,1,,
GA,will he be able to see again?,8,17,1,4,00:12:01:748,00:12:03:474,negative ,sadness,2,fear,3,,
GA,we won't know until the nails come out,8,18,1,4,00:12:03:858,00:12:06:280,negative ,sadness,1,disgust,1,,
GA,did he tell you he takes photos?,8,19,1,4,00:12:06:654,00:12:08:529,negative ,sadness,1,like,2,,
GA,means i have it all the time,9,0,1,5,00:06:14:639,00:06:16:078,negative ,sadness,2,disgust,2,,
GA,"i know what ""chronic"" means",9,1,1,5,00:06:16:133,00:06:17:506,negative ,disgust,3,anger,1,,
GA,what kind of pain are you having?,9,2,1,5,00:06:17:642,00:06:18:759,negative ,anger,1,,,,
GA,"oh, man, the pain's bad",9,3,1,5,00:06:18:837,00:06:19:785,negative ,sadness,2,fear,2,,
GA,it's like a thousand samurai warriors stabbing their swords into my spine,9,4,1,5,00:06:19:840,00:06:23:680,negative ,sadness,2,fear,2,,
GA,"i'm allergic to aspirin, most nsaids",9,5,1,5,00:06:23:908,00:06:26:113,negative ,fear,1,disgust,2,,
GA,"so, maybe we'll start you on morphine",9,6,1,5,00:06:26:173,00:06:27:434,neutral,neutral,,,,,
GA,"no. the only things that will work are, uh,",9,7,1,5,00:06:27:930,00:06:30:368,negative ,sadness,2,disgust,1,,
GA,demerol or dilaudid. a ton of dilaudid - that will set me straight,9,8,1,5,00:06:30:434,00:06:34:689,positive,acceptance,2,,,,
GA,the standard starting dose is two,9,9,1,5,00:06:35:097,00:06:37:209,negative ,disgust,2,,,,
GA,"did you see that tom cruise samurai movie, hmm?",9,10,1,5,00:06:37:279,00:06:39:471,neutral,neutral,,,,,
GA,pow! pow! pow!,9,11,1,5,00:06:39:635,00:06:40:997,neutral,neutral,,,,,
GA,exaggerated and overly specific description of his pain,9,12,1,5,00:06:42:128,00:06:44:882,negative ,anger,1,disgust,2,,
GA,a self-prescription,9,13,1,5,00:06:44:975,00:06:46:184,negative ,disgust,2,,,,
GA,"""pow! pow! pow!""?",9,14,1,5,00:06:46:890,00:06:48:016,negative ,anger,2,disgust,3,,
GA,he's a dilaudid junkie,9,15,1,5,00:06:48:118,00:06:49:353,negative ,anger,2,disgust,3,,
GA,so what do you do?,9,16,1,5,00:06:49:424,00:06:50:275,neutral,neutral,,,,,
GA,"check the database for history, refer to a program, and discharge",9,17,1,5,00:06:50:351,00:06:53:479,neutral,neutral,,,,,
GA,after you give him something,9,18,1,5,00:06:53:567,00:06:54:770,neutral,neutral,,,,,
GA,that's exactly what he wants,9,19,1,5,00:06:55:323,00:06:56:720,negative ,anger,2,disgust,3,,
GA,"george, stay with the patient",10,0,1,5,00:12:34:163,00:12:35:535,neutral,neutral,,,,,
GA,keep her happy. she seems to like you,10,1,1,5,00:12:35:623,00:12:37:265,neutral,neutral,,,,,
GA,"right, okay, um, how long do you think...?",10,2,1,5,00:12:37:378,00:12:39:590,negative ,sadness,3,disgust,1,,
GA,"i mean, just technically, i'm off at 6:00",10,3,1,5,00:12:40:072,00:12:42:882,negative ,sadness,1,disgust,2,,
GA,am i invited?,10,4,1,5,00:12:43:359,00:12:44:337,neutral,neutral,,,,,
GA,excuse me?,10,5,1,5,00:12:44:659,00:12:45:421,negative ,surprise,2,sadness,1,,
GA,am i invited to the party?,10,6,1,5,00:12:45:555,00:12:47:189,negative ,anger,1,disgust,1,,
GA,"well, yeah. yes, yeah, of course",10,7,1,5,00:12:47:639,00:12:51:201,positive,joy,1,like,3,,
GA,what was i supposed to say?,10,8,1,5,00:12:55:064,00:12:56:948,negative ,sadness,2,fear,3,,
GA,"okay, yeah, great. all right, 14 cases",10,9,1,5,00:13:02:028,00:13:05:124,positive,joy,1,like,2,,
GA,what kind? i don't know. maybe an assortment,10,10,1,5,00:13:05:732,00:13:08:606,positive,surprise,2,joy,1,,
GA,microbrews - locals,10,11,1,5,00:13:10:665,00:13:12:078,positive,joy,1,like,2,,
GA,make sure they throw in some bar nuts,10,12,1,5,00:13:12:140,00:13:15:047,positive,joy,1,like,2,,
GA,i'm ordering office supplies,10,13,1,5,00:13:15:273,00:13:17:106,negative ,disgust,3,joy,1,,
GA,"oh, yeah, sure",10,14,1,5,00:13:17:185,00:13:18:183,negative ,disgust,3,joy,1,,
GA,microbrews - local. and throw in some bar nuts,10,15,1,5,00:13:19:430,00:13:21:719,neutral,neutral,,,,,
GA,7:00 would be better than 5:00,10,16,1,5,00:13:21:950,00:13:23:587,neutral,neutral,,,,,
GA,"hey, any luck?",10,17,1,5,00:13:23:673,00:13:24:771,negative ,sadness,1,like,1,,
GA,"hey, if i do, will you invite me to the party?",10,18,1,5,00:13:25:790,00:13:27:899,positive,joy,1,like,2,,
GA,"yeah, great. okay, thanks",10,19,1,5,00:13:30:238,00:13:32:179,positive,joy,2,like,3,,
GA,good for you,11,0,1,6,00:10:16:696,00:10:17:761,negative ,anger,2,disgust,1,,
GA,but if you think i'm gonna stand back and watch while you favor her,11,1,1,6,00:10:17:853,00:10:20:602,negative ,anger,2,disgust,3,,
GA,i don't favor her. she's good,11,2,1,6,00:10:20:674,00:10:22:241,negative ,acceptance,2,,,,
GA,i'm sure she is,11,3,1,6,00:10:22:358,00:10:23:721,positive,acceptance,3,,,,
GA,"can i point out that, technically, i'm your boss",11,4,1,6,00:10:23:808,00:10:26:317,positive,acceptance,1,disgust,1,,
GA,you don't scare me,11,5,1,6,00:10:26:404,00:10:27:586,negative ,anger,1,disgust,2,,
GA,"look, i'm not gonna advertise your extracurricular activities with my intern",11,6,1,6,00:10:27:832,00:10:32:139,negative ,disgust,2,,,,
GA,"however, the next time i see you favoring meredith grey in any way,",11,7,1,6,00:10:32:220,00:10:35:547,negative ,anger,2,disgust,2,,
GA,i'll make sure she doesn't see the inside of an o.r. for a month,11,8,1,6,00:10:35:716,00:10:38:819,negative ,anger,2,disgust,2,,
GA,just for the sake of balance,11,9,1,6,00:10:39:598,00:10:41:303,negative ,disgust,2,,,,
GA,"we're all set, doc. - okay",11,10,1,6,00:10:44:873,00:10:46:386,positive,acceptance,1,,,,
GA,annie... there's gonna be a microphone in there for you in case you get scared,11,11,1,6,00:10:47:810,00:10:51:492,neutral,neutral,,,,,
GA,"or you want to get out, but try not to do that,",11,12,1,6,00:10:51:558,00:10:54:390,negative ,disgust,1,,,,
GA,because then we're gonna have to start all over again,11,13,1,6,00:10:54:446,00:10:57:277,negative ,sadness,2,disgust,1,,
GA,i'm fine. i'll be fine,11,14,1,6,00:10:57:370,00:10:59:157,positive,acceptance,2,fear,1,,
GA,"i know you're gonna be fine, because i'm gonna be right over there,",11,15,1,6,00:10:59:244,00:11:02:204,positive,acceptance,2,,,,
GA,"behind that glass, waiting for you",11,16,1,6,00:11:02:276,00:11:04:211,positive,acceptance,1,,,,
GA,all right?,11,17,1,6,00:11:05:419,00:11:06:094,neutral,neutral,,,,,
GA,okay,11,18,1,6,00:11:06:295,00:11:06:882,positive,acceptance,2,,,,
GA,you ready?,11,19,1,6,00:11:06:964,00:11:07:661,neutral,neutral,,,,,
GA,seriously? you're equating your pathetic love life with my record-breaking tumor?,12,0,1,6,00:19:27:629,00:19:32:753,negative ,anger,2,disgust,3,,
GA,seriously?,12,1,1,6,00:19:34:069,00:19:35:064,negative ,anger,2,disgust,3,,
GA,"it's just that he blatantly favors me in front of her,",12,2,1,6,00:19:38:560,00:19:41:754,negative ,disgust,3,sadness,1,,
GA,and then blatantly dismisses me,12,3,1,6,00:19:41:868,00:19:43:736,negative ,disgust,2,anger,1,,
GA,how do you know he was favoring you?,12,4,1,6,00:19:43:803,00:19:45:180,negative ,surprise,3,disgust,1,,
GA,"look, you've got a brain. you got into this program",12,5,1,6,00:19:47:557,00:19:49:850,positive,like,2,disgust,1,,
GA,just because shepherd munched your cookies,12,6,1,6,00:19:49:942,00:19:51:780,negative ,disgust,3,anger,1,,
GA,doesn't mean that you didn't deserve what you worked for,12,7,1,6,00:19:51:846,00:19:53:710,negative ,disgust,2,like,3,,
GA,but he's making me look bad,12,8,1,6,00:19:53:792,00:19:55:225,negative ,sadness,3,disgust,3,,
GA,i have to end it,12,9,1,6,00:19:56:592,00:19:57:693,negative ,disgust,2,sadness,1,,
GA,right,12,10,1,6,00:19:58:082,00:19:58:937,negative ,surprise,2,disgust,3,,
GA,it's over,12,11,1,6,00:19:59:158,00:19:59:911,negative ,sadness,1,disgust,2,,
GA,is it true you get to scrub in on that tumor?,12,12,1,6,00:20:01:006,00:20:03:525,positive,surprise,3,disgust,1,,
GA,don't sit here,12,13,1,6,00:20:03:633,00:20:04:508,negative ,anger,2,disgust,3,,
GA,you get to scrub in?,12,14,1,6,00:20:04:596,00:20:05:675,positive,surprise,3,joy,1,,
GA,how psyched are you?,12,15,1,6,00:20:06:019,00:20:07:279,positive,surprise,3,joy,2,,
GA,"on a scale of one to ecstatic, ecstatic",12,16,1,6,00:20:07:366,00:20:09:726,positive,joy,3,like,2,,
GA,that's unbelievable. you know what i think?,12,17,1,6,00:20:09:804,00:20:11:702,negative ,surprise,2,disgust,1,,
GA,i think burke wants to get into your scrubs,12,18,1,6,00:20:12:066,00:20:13:954,negative ,disgust,2,joy,3,,
GA,why are you sitting here?,12,19,1,6,00:20:14:016,00:20:15:154,negative ,anger,3,disgust,2,,
GA,botched abortion?,13,0,1,7,00:10:10:685,00:10:11:560,negative ,surprise,3,disgust,1,,
GA,"no, she has four laparoscopic scars on her abdomen",13,1,1,7,00:10:11:648,00:10:14:296,neutral,neutral,,,,,
GA,and won't say what they're from. the parents are clueless,13,2,1,7,00:10:14:468,00:10:16:824,neutral,neutral,,,,,
GA,"oh, she's a minor. - 17. freshman in college",13,3,1,7,00:10:16:885,00:10:19:383,negative ,sadness,2,disgust,1,,
GA,you order up for a c.t.? - yes,13,4,1,7,00:10:19:452,00:10:21:202,neutral,neutral,,,,,
GA,"so, while she's there, the nurses couldn't get a foley on mr. gry",13,5,1,7,00:10:21:392,00:10:24:827,neutral,neutral,,,,,
GA,he may need a coud�� cath if you can't get a normal one in there,13,6,1,7,00:10:24:898,00:10:27:321,neutral,neutral,,,,,
GA,write up post-op notes on all surgical-floor patients that had surgery within the last 24 hours,13,7,1,7,00:10:27:402,00:10:32:215,neutral,neutral,,,,,
GA,be sure to document their ekgs and x-rays,13,8,1,7,00:10:32:298,00:10:35:481,neutral,neutral,,,,,
GA,hunt them down if you can't find them,13,9,1,7,00:10:35:563,00:10:37:182,neutral,neutral,,,,,
GA,right away,13,10,1,7,00:10:37:279,00:10:38:084,positive,joy,1,like,3,,
